Name,Start-Date,End-Date
Lemon Bucket Orkestra,01/11/2017,01/11/2017
Vancouver Symphony Orchestra,25/05/2018,25/05/2018
Romeo & Juliet ,21/07/2017,21/07/2017
Rockcliffe Park Book Fair,03/11/2017,05/11/2017
Kanata Symphony Orchestra Concert,06/05/2017,06/05/2017
Lantern Lit Labryinth Walk,02/06/2018,02/06/2018
Amanda Rheaume,16/02/2019,16/02/2019
Fifteenth National Jewellery Student Competition Exhibition ,25/08/2018,09/09/2018
Sing Out for CHEO,22/02/2019,22/02/2019
4th Annual West End Food Truck Rally,11/08/2018,11/08/2018
Elmwood Old Girls' Art Show,01/12/2017,03/12/2017
Hands on History: Musket Firing,08/07/2018,09/08/2018
Lapland Chamber Orchestra,12/10/2017,12/10/2017
Heritage Walk - Chinatown ,30/06/2018,30/06/2018
Family Gingerbread House Contest,12/12/2018,20/12/2018
Pinhole Portraits Ottawa,30/12/2017,30/12/2017
Nepali Gala 2018,11/05/2018,11/05/2018
Peace on Earth - Songs to Heal Our Planet,15/12/2017,15/12/2017
 Empyrean,17/10/2018,18/11/2018
BIAOV Fall Fundraiser,24/10/2017,24/10/2017
The Royal Canadian Geographic Society Summer Exhibits,29/06/2018,03/09/2018
"A ""Gift of Art"" Fine Art Show and Sale",24/11/2018,25/11/2018
Live Music,09/09/2017,09/09/2017
Le silence d’une tragédie... ou La Mesure Humaine,18/04/2018,08/05/2018
The Real 6,18/08/2017,18/08/2017
Series Dance 10 #27 - Chartier Danse and Jacqueline Ethier,11/05/2017,13/05/2017
Ottawa Park Summit,21/04/2018,21/04/2018
Canada Day at Laurier House National Historic Site,01/07/2018,01/07/2018
Canada Day at the Canada Agriculture and Food Museum,01/07/2017,01/07/2017
Entonces Nosotros (About Us) - Latin American Film Festival,11/05/2017,11/05/2017
DrupalCamp Ottawa,26/10/2018,26/10/2018
"Sister Act, The Musical",25/05/2017,28/05/2017
Red Trillium Studio Tour,25/11/2017,26/11/2017
OWAA Celebrates Canada 150,13/05/2017,13/05/2017
Ray Montford 'Share My Sky' Album Release Concert,20/10/2018,20/10/2018
Opening reception: Mélanie Myers: Ce qui touche au sol (What Touches the Ground) ,14/12/2017,14/12/2017
"National Urban Design Awards, Ceremony and presentation",07/01/2019,07/01/2019
St Pius X 60th Anniversary Charity Golf Tournament,08/08/2018,08/08/2018
Westfest All Star Fundraiser and Media Launch,04/03/2018,04/03/2018
Inspirations Art Show & Sale,14/04/2018,15/04/2018
Parkinson SuperWalk,09/09/2017,09/09/2017
Glebestock,29/09/2018,29/09/2018
Classic Albums Live: Fleetwood Mac - Rumours,10/04/2019,10/04/2019
Spectacular Spectacular!,31/12/2017,31/12/2017
An Evening with Steve Patterson,12/10/2017,12/10/2017
Ryan Cook,22/02/2019,22/02/2019
The World Remembers,24/09/2017,13/11/2017
Julie Mercantini: 'biomorphs',28/09/2017,10/10/2017
CN Cycle for CHEO,06/05/2018,06/05/2018
Ice Cream Lawn Social,24/06/2018,24/06/2018
One Night on the Wheel,07/09/2018,12/10/2018
Romero Guitar Quartet,16/02/2019,16/02/2019
All That Glam,25/11/2017,25/11/2017
The National Portrait,29/06/2018,19/08/2018
Canada Day in the National Capital Region,30/06/2017,02/07/2017
Heritage Walk - Lowertown West,27/06/2018,27/06/2018
Canada Day Celebrations,01/07/2018,01/07/2018
Holidays for Hope,01/12/2018,01/12/2018
Accommodating the details by Gail Bourgeois,08/02/2018,11/03/2018
"Artists' tour and catalogue launch: Barbara Brown and Cynthia O'Brien – LifeCycle Conversations Judith Parker, curatorial collaborator",02/12/2018,02/12/2018
Great Canadian Tease Burlesque Brunch,20/08/2017,20/08/2017
Plant Portraits: Native Plants of Canada,18/05/2018,31/10/2018
Canada: Who Do We Think We Are?,12/07/2017,01/03/2018
Fletcher Wildlife Garden Annual Native Plant Sale,02/06/2018,02/06/2018
Red Trillium Studio Tour,20/10/2018,21/10/2018
Twelfth Annual Great Pumpkin Charity Ball,27/10/2018,28/10/2018
Joy Kardish: Transference,15/02/2019,20/03/2019
Welcome to Our Home,26/10/2017,01/12/2017
Saturday Explorers: Crafting in the Past,27/05/2017,27/05/2017
Wiggle Waggle Walk and Run,09/09/2018,09/09/2018
260 Fingers,11/11/2017,12/11/2017
Beneath ocean waves: The surprising colours of Canada’s western coast,13/06/2017,13/06/2017
Bicycle Film Festival,09/09/2017,09/09/2017
Comfortably Numb - Canada's Pink Floyd Show - The Wall ,10/02/2018,10/02/2018
Pride and Prejudice Garden Party,16/07/2017,16/07/2017
Kanata Symphony Orchestra Concert,18/11/2017,18/11/2017
Echoes of Brass: The Music of the Salvation Army,25/02/2018,25/02/2018
Sweet Picnic Tea on the Veranda  ,21/07/2018,25/08/2018
The Split - Matinee Concert,30/04/2017,30/04/2017
Canadian Traditions: Play the wooden spoons workshop,17/03/2018,17/03/2018
38th Annual Reach Celebrity Auction,18/10/2018,18/10/2018
Trick or Toccata ,23/10/2018,23/10/2018
Tim Hortons Ottawa Dragon Boat Festival,22/06/2017,25/06/2017
Make-A-Wish's Royal-Tea Event,19/05/2018,19/05/2018
The Grey Jazz Big Band- A Concert To Remember,09/11/2018,09/11/2018
Tree of Life Candlelight Remembrance,25/11/2018,25/11/2018
Peter Pan and Wendy,29/11/2017,16/12/2017
The Spirit of Budo: The History of Japanese Martial Arts,26/04/2017,16/05/2017
James and the Giant Peach,24/05/2018,27/05/2018
Duplexity,10/05/2018,12/06/2018
Lights,04/04/2018,04/04/2018
Baconpalooza,25/08/2017,27/08/2017
Vernissage - Wapikwanew: Blossom (Floraison),22/06/2017,22/06/2017
A Classical Treat,07/06/2017,07/06/2017
Families in Flux - Opening Day,13/05/2018,13/05/2018
Canadian Stone Carving Festival,21/07/2017,23/07/2017
Summer Series 2018,05/07/2018,23/08/2018
Curious About Curating?,20/09/2017,20/09/2017
Unity,24/08/2017,24/08/2017
Antoine Corriveau,26/01/2019,26/01/2019
Wild Kratts Live 2.0 - Activate Creature Power!,14/09/2018,15/09/2018
260 Fingers: Opening Night,10/11/2017,10/11/2017
Café Classico - Lansdowne String Quartet,03/03/2019,03/03/2019
St. Matthew's Pageant & Choral Eucharist,24/12/2017,24/12/2017
Miss Shakespeare - a new Canadian Musical,23/05/2018,02/06/2018
Red Trillium Studio Tour 2017,03/06/2017,04/06/2017
Ottawa Youth Orchestra Academy Family Concert,06/05/2018,06/05/2018
Heritage Walk - Vanier,20/06/2018,20/06/2018
Steven Page,01/05/2019,01/05/2019
Hop into Easter,31/03/2018,31/03/2018
Nordic Favourites,21/10/2017,21/10/2017
Voices in Harmony: A Springtime Choral Concert,28/04/2018,28/04/2018
Howl-o-Ween at the OHS,27/10/2018,27/10/2018
Barrack Hill Cemetery - Public Visitation,24/09/2017,24/09/2017
Curious and Kind,01/10/2018,24/12/2018
Dominion,30/05/2017,02/07/2017
Soiree Salus,27/09/2018,27/09/2018
Pakenham Maple Run Studio Tour,07/04/2018,08/04/2018
Canada Day,01/07/2017,01/07/2017
Roman Timofeev's piano recital,09/09/2017,09/09/2017
The Peace of Christmas,02/12/2018,02/12/2018
Pysanky making workshop - Wapikwanew: Blossom (Floraison),15/07/2017,15/07/2017
A Noteworthy Woman,30/11/2018,12/05/2019
James Barker Band,17/01/2018,17/01/2018
Romeo & Juliet ,07/07/2017,07/07/2017
Playlist 150 Fun Ride,25/06/2017,25/06/2017
NAC Gala,16/09/2017,16/09/2017
Mozart!,02/10/2017,02/10/2017
Hopped and Confused,25/08/2017,26/08/2017
Ottawa Parent & Child Expo 2017,28/10/2017,29/10/2017
Welcome To Guruland,03/02/2018,03/02/2018
Late Bloomers,02/05/2017,28/05/2017
Rattle Me Bones,28/10/2018,28/10/2018
Canada Goose Arctic Gallery,21/06/2017,21/06/2017
"Curatorial Talk: Barbara Brown and Cynthia O'Brien – LifeCycle Conversations Judith Parker, curatorial collaborator",06/01/2019,06/01/2019
Heritage Walk - Lowertown East,29/06/2018,29/06/2018
Young At Art: Atrium Art Gallery,20/04/2019,13/05/2019
CineMusiq 'Octane' with Chitra - Music for Cause ,09/09/2017,09/09/2017
Beekeeping 101,18/01/2018,18/01/2018
Yo ho ho: Raise a Glass to Franklin!,09/06/2018,09/06/2018
Howl-O-Ween Open House,28/10/2017,28/10/2017
The Great Glebe Green Garage Sale 2018 ,26/05/2018,26/05/2018
Al Compás del Aire,16/06/2018,16/06/2018
Tanya Kirouac - Excavations,18/11/2017,09/12/2017
Opening: Fiona Annis - Mormorii (Murmurs),07/02/2019,07/02/2019
Dark Horse Dance Projects,06/09/2017,09/09/2017
France: Les Ogres (Ogres) (EUFF 2017),21/11/2017,21/11/2017
Medium Sherry Gallant,02/03/2018,02/03/2018
Kidsfest Ottawa,02/03/2019,03/03/2019
Opening Reception: Ben Globerman – Call to Prayer,08/02/2018,08/02/2018
Canadian Stone Carving Festival 2018,20/07/2018,22/07/2018
Twenty-sixth Annual Open Studio,18/10/2018,28/10/2018
The Art of Gingerbread,06/12/2018,06/12/2018
A Spring Posy,08/04/2018,08/04/2018
Light Jazz for Orchestra workshop,23/09/2017,23/09/2017
Overbrook the Musical,24/11/2017,26/11/2017
Ben Heppner and Toronto Mass Choir,25/01/2018,25/01/2018
Classic Car Show,15/07/2018,15/07/2018
In the Spotlight,08/11/2018,08/11/2018
Claudia Salguero in concert,26/05/2017,26/05/2017
Resolution 2019,18/01/2019,18/01/2019
Nature Awakens,06/05/2017,07/07/2017
Une Célébration Française,29/04/2018,29/04/2018
ODD is On,17/04/2018,17/04/2018
2nd Oskar Halecki Symposium: Polish Canadians Contribution to Canada,27/10/2017,27/10/2017
OHS Critter Christmas Family Event,01/12/2018,01/12/2018
Artist Talk: Adrienne Scott - Magpie Landscapes,21/10/2018,21/10/2018
FOPLA Mammoth Book sale,16/06/2018,16/06/2018
Parfocal Lens: Debating Ballen,14/09/2018,14/09/2018
Political cartoons and landscapes of Josh Silburt,17/07/2018,03/09/2018
Sporting Life 10K Ottawa,13/05/2018,13/05/2018
Smashing Pumpkins,23/09/2017,24/09/2017
Jeffrey Li,01/12/2018,01/12/2018
Feast of Fields,03/10/2018,03/10/2018
One Voice,07/04/2018,07/04/2018
Food for Thought Lecture: Cricket Farming: A new source of protein,15/02/2018,15/02/2018
Moving Stories Exhibition,09/11/2018,22/03/2019
Parfocal Lens: Fabricated Visions,16/11/2018,16/11/2018
Ottawa Adventure Film Festival,18/11/2017,18/11/2017
FOPLA Mammoth Book sale,19/01/2019,19/01/2019
Labyrinth Walk at Carleton Memorial,16/12/2017,16/12/2017
Sleigh Bells Ring!,15/12/2018,15/12/2018
JW Jones & Friends: Home for the Holidays,13/12/2018,13/12/2018
l i n g e r  and  l u r e - Sharon Kelly and Crystal Beshara,11/05/2018,31/05/2018
Megan Jerome and the Together Ensemble,16/06/2017,16/06/2017
Moonfruits present Ste-Quequepart,13/05/2017,13/05/2017
Equal Terms,06/02/2018,04/03/2018
Contemporary Canadian Jewellery: the 30th annual exhibition ,02/12/2017,31/12/2017
Shirley Van Dusen - A Retrospective,05/09/2017,24/09/2017
"Feed the City, Feed Your Soul",01/10/2017,01/10/2017
Artist Talk: Fiona Annis - Mormorii (Murmurs),08/02/2019,08/02/2019
Doors Open Ottawa 2018,02/06/2018,03/06/2018
